City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Fortuna,US,40.5982,-124.1573,46.99,93,90,5.75,overcast clouds
198,Bethel,US,41.3712,-73.414,21.2,45,1,4.61,clear sky
199,Vilyuysk,RU,63.7553,121.6247,-49.68,76,57,4.65,broken clouds
200,Basti,IN,26.8,82.7167,63.73,57,0,4.29,clear sky
201,Lienz,AT,46.8289,12.769,25.0,92,66,3.2,broken clouds
202,Valenca,BR,-13.3703,-39.0731,72.12,89,100,2.24,overcast clouds
203,Aklavik,CA,68.2191,-135.0107,-16.6,76,87,8.05,overcast clouds
204,Luorong,CN,24.4058,109.6086,73.67,43,56,5.06,broken clouds
205,Taoudenni,ML,22.6783,-3.9836,61.3,27,0,9.44,clear sky
206,Kaspiysk,RU,42.8816,47.6392,30.2,86,8,6.71,clear sky
207,Lahij,YE,13.1667,44.5833,66.18,77,56,6.08,broken clouds
208,Asuncion Nochixtlan,MX,17.4667,-97.2333,52.5,78,100,1.74,overcast clouds
209,Beyneu,KZ,45.3167,55.2,34.02,92,100,9.1,overcast clouds
210,Esperance,AU,-33.8667,121.9,73.4,53,90,9.22,overcast clouds
211,Seoul,KR,37.5683,126.9778,53.6,43,0,4.61,clear sky
212,Namatanai,PG,-3.6667,152.4333,86.34,58,81,5.95,broken clouds
213,Necochea,AR,-38.5473,-58.7368,75.99,71,1,10.0,clear sky
214,Zhezkazgan,KZ,47.8043,67.7144,-14.8,76,40,2.24,mist
215,Port Hardy,CA,50.6996,-127.4199,39.2,81,90,11.5,light snow
216,Bourail,NC,-21.5667,165.4833,82.49,69,100,9.62,overcast clouds
217,Port Blair,IN,11.6667,92.75,80.92,60,7,10.54,clear sky
218,North Bend,US,43.4065,-124.2243,45.0,81,1,5.75,clear sky
219,Kolyvan,RU,55.3053,82.7391,-23.8,69,40,4.47,scattered clouds
220,Arkul,RU,57.2808,50.044,22.82,98,100,6.2,light snow
221,Faya,SA,18.3851,42.4509,46.4,45,2,1.23,clear sky
222,Kamina,CD,-8.7386,24.9906,62.67,99,100,3.15,overcast clouds
223,Wattegama,LK,6.7989,81.4808,80.6,83,40,10.36,scattered clouds
224,Oskarshamn,SE,57.2645,16.4484,28.0,96,92,1.01,overcast clouds
225,Nagaur,IN,27.2,73.7333,59.07,34,0,7.52,clear sky
226,Siderno,IT,38.2779,16.302,55.99,71,40,6.91,scattered clouds
227,Raudeberg,NO,61.9875,5.1352,37.0,80,97,17.85,overcast clouds
228,Touros,BR,-5.1989,-35.4608,77.0,83,40,4.61,scattered clouds
229,Hasaki,JP,35.7333,140.8333,45.0,100,75,17.27,light rain
230,East London,ZA,-33.0153,27.9116,68.0,83,20,16.11,light rain
231,Saint Anthony,US,45.0205,-93.218,19.0,79,90,9.22,snow
232,Hami,CN,42.8,93.45,24.69,83,94,9.46,overcast clouds
233,Pisco,PE,-13.7,-76.2167,71.6,73,0,6.91,clear sky
234,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,24.16,light rain
235,Stourbridge,GB,52.4561,-2.1432,30.0,93,93,6.06,overcast clouds
236,Gainesville,US,29.6516,-82.3248,55.99,82,90,5.75,overcast clouds
237,Khorixas,NA,-20.3667,14.9667,64.89,80,100,5.26,overcast clouds
238,Zaraza,VE,9.3503,-65.3245,74.16,87,100,3.87,overcast clouds
239,Muisne,EC,0.6,-80.0333,75.96,87,80,3.56,moderate rain
240,Bonavista,CA,48.6499,-53.1147,25.0,86,12,9.22,few clouds
241,Sawtell,AU,-30.3833,153.1,84.99,65,0,20.71,clear sky
242,Bellevue,US,47.6104,-122.2007,41.0,70,75,9.22,broken clouds
243,Hay River,CA,60.8156,-115.7999,-20.2,69,6,4.61,clear sky
