City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,La Ronge,CA,2021-01-21 23:41:19,55.1001,-105.2842,12.2,79,100,5.75
163,Mayo,US,2021-01-21 23:41:19,38.8876,-76.5119,44.6,49,1,5.75
164,Clyde River,CA,2021-01-21 23:39:20,70.4692,-68.5914,-2.2,84,20,4.61
165,Krasnorechenskiy,RU,2021-01-21 23:41:20,44.6265,135.3532,3.81,85,0,5.55
166,Nanortalik,GL,2021-01-21 23:41:20,60.1432,-45.2371,23.31,87,0,4.56
167,Berlevag,NO,2021-01-21 23:41:20,70.8578,29.0864,21.2,93,84,17.92
168,Lebu,CL,2021-01-21 23:41:20,-37.6167,-73.65,61.86,80,0,20.29
169,Saint-Joseph,RE,2021-01-21 23:41:20,-21.3667,55.6167,80.6,74,75,1.14
170,Piacabucu,BR,2021-01-21 23:41:20,-10.4056,-36.4344,77.43,79,100,9.62
171,Hasaki,JP,2021-01-21 23:41:21,35.7333,140.8333,33.8,86,40,2.3
172,Korla,CN,2021-01-21 23:41:21,41.7597,86.1469,21.52,84,50,3.15
173,Birjand,IR,2021-01-21 23:41:21,32.8663,59.2211,26.6,50,0,9.31
174,Maues,BR,2021-01-21 23:39:40,-3.3836,-57.7186,72.46,97,89,2.19
175,Kruisfontein,ZA,2021-01-21 23:41:21,-34.0033,24.7314,68.0,93,23,1.01
176,Airai,TL,2021-01-21 23:41:21,-8.9266,125.4092,68.79,90,95,2.35
177,Northam,GB,2021-01-21 23:41:21,51.0333,-4.2167,43.0,88,27,5.01
178,Bethel,US,2021-01-21 23:41:22,41.3712,-73.414,32.0,69,1,3.56
179,Barquisimeto,VE,2021-01-21 23:40:01,10.0739,-69.3228,70.54,78,18,3.2
180,Itarema,BR,2021-01-21 23:41:22,-2.9248,-39.9167,79.56,78,87,12.17
181,Saldanha,ZA,2021-01-21 23:41:22,-33.0117,17.9442,69.8,68,22,3.44
182,Santa Rosa,PH,2021-01-21 23:38:44,14.3122,121.1114,79.0,94,75,2.3
183,Vardo,NO,2021-01-21 23:41:22,70.3705,31.1107,14.0,92,40,8.05
184,Salalah,OM,2021-01-21 23:41:22,17.0151,54.0924,66.2,59,0,2.3
185,Sidi Ali,DZ,2021-01-21 23:41:23,36.0998,0.4206,52.66,73,55,10.31
186,Ramon Castilla,PE,2021-01-21 23:41:23,-4.2569,-69.9594,80.6,89,40,2.3
187,Phon,TH,2021-01-21 23:41:23,15.816,102.5998,64.99,99,0,3.4
188,Saint-Pierre,RE,2021-01-21 23:41:23,-21.3393,55.4781,80.6,74,75,1.14
189,Arona,ES,2021-01-21 23:41:23,28.0996,-16.681,66.2,88,40,3.44
190,Belyy Yar,RU,2021-01-21 23:41:23,53.6039,91.3903,5.0,78,20,2.24
191,Ndola,ZM,2021-01-21 23:41:24,-12.9587,28.6366,62.58,97,100,0.78
