City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Eenhana,,73.4,overcast clouds,-17.4667,16.3333,Hotel Litu
478,Samarai,PG,83.82,light rain,-10.6167,150.6667,Nuli Sapi
481,Pyay,MM,79.92,clear sky,18.8167,95.2167,Shwe Pyi Thar
482,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
483,Kirakira,SB,84.65,overcast clouds,-10.4544,161.9205,SanBiz Lodge
488,Martapura,ID,86.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
489,Bubaque,GW,77.18,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
491,Nueva Loja,EC,70.65,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
492,Bonthe,SL,74.73,clear sky,7.5264,-12.505,Bonthe Holiday Village
493,Dingle,PH,84.87,light rain,10.9995,122.6711,SEGAYA PROPERTY
496,Alice Springs,AU,80.6,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
501,Hobyo,SO,77.45,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
507,Niquero,CU,74.59,few clouds,20.0431,-77.5828,
509,Takoradi,GH,76.71,overcast clouds,4.8845,-1.7554,Raybow International Hotel
510,Caravelas,BR,73.4,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
513,Sinnamary,GF,77.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Richards Bay,ZA,78.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
521,Koumac,NC,83.12,overcast clouds,-20.5667,164.2833,Le Monitel
522,Dondo,MZ,75.87,overcast clouds,-19.6094,34.7431,Arco Iris
525,Alabel,PH,87.8,light rain,6.1018,125.2905,Bajun Tan
529,Santa Cruz,BO,71.6,broken clouds,-17.8,-63.1667,Hotel Cortez
534,Jequie,BR,70.29,moderate rain,-13.8575,-40.0836,Itajuba Hotel
537,Sumbe,AO,74.1,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
542,Tiarei,PF,82.4,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
544,Alofi,NU,84.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
549,Acapulco,MX,78.01,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
552,Male,MV,86.0,light rain,4.1748,73.5089,Hotel Octave Maldives
553,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
556,Cantaura,VE,74.48,broken clouds,9.3057,-64.3584,Hotel Lorenzana
562,Luganville,VU,83.95,light rain,-15.5333,167.1667,The Espiritu Hotel
563,Aden,YE,75.2,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
564,Shwebo,MM,76.59,broken clouds,22.5667,95.7,MOON SHINE Guest House
566,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
569,Kuala Pilah,MY,87.01,few clouds,2.7389,102.2487,Desa Inn Hotel Kuala Pilah
570,Dawei,MM,85.6,clear sky,14.0833,98.2,Hotel Dawei
574,Teknaf,BD,73.22,clear sky,20.8624,92.3058,Forestry Guesthouse
579,Lazaro Cardenas,MX,75.11,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
580,Mandera,KE,75.47,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
583,Amboasary,MG,78.8,broken clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
584,San Ignacio,BZ,73.99,clear sky,17.1561,-89.0714,Rainforest Haven Inn
586,Edd,ER,74.71,clear sky,13.9297,41.6925,
593,Nacala,MZ,78.17,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
601,Alyangula,AU,78.8,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
602,San Rafael,AR,82.56,clear sky,-34.6177,-68.3301,Hotel San Rafael
603,Makakilo City,US,78.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
605,Alepe,CI,77.0,few clouds,5.5004,-3.6631,BENENE 1
607,Bandarbeyla,SO,72.36,broken clouds,9.4942,50.8122,JABIR HOTEL
609,Saint-Pierre,RE,86.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
612,Kaili,ID,78.26,light rain,-3.4626,120.2147,
616,Prata,BR,71.1,broken clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
620,Matamoros,MX,71.6,scattered clouds,25.5333,-103.25,Quinta Belem
621,Innisfail,AU,82.67,clear sky,-17.5333,146.0333,Moondarra Motel
623,Santa Isabel Do Rio Negro,BR,72.86,light rain,-0.4139,-65.0192,Hotel GSA
624,San Ramon De La Nueva Oran,AR,77.0,overcast clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
626,Walvis Bay,,70.0,light rain,-22.9575,14.5053,Oyster Box Guesthouse
627,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
631,Maceio,BR,73.4,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
635,Tura,IN,71.24,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
636,Carmen De Apicala,CO,74.48,broken clouds,4.1473,-74.7201,Hotel Apicala
638,Ambilobe,MG,76.32,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
641,Randudongkal,ID,82.62,overcast clouds,-7.0981,109.3243,M N D P
642,Angoram,PG,88.21,light rain,-4.0625,144.0661,
643,Salinopolis,BR,79.52,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
645,Meulaboh,ID,85.41,clear sky,4.1363,96.1285,Kost Pria
651,Isla Mujeres,MX,78.01,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
652,Balabac,PH,82.65,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
655,Benguela,AO,71.29,broken clouds,-12.5763,13.4055,Hotel Praia Morena
659,Kahului,US,77.0,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
660,Barranca,PE,70.18,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
665,Port-Gentil,GA,80.49,overcast clouds,-0.7193,8.7815,Fengshui Residence
666,Saint-Joseph,RE,86.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
670,Ca Mau,VN,85.93,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
676,Belmonte,BR,73.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
679,Bahia Blanca,AR,87.08,few clouds,-38.7196,-62.2724,Hotel Argos
680,Ratnagiri,IN,79.83,clear sky,16.9833,73.3,Hotel Landmark
684,Danshui,CN,72.0,broken clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
